,,P(i),Sum over all n(ij),Total Responses,Organism,Environment,Quality,Mat & Subst,Method,Data Type,Process,Anatomy,Location,Time,Event,Person & Org,Human Inter,Other,None,Other Category,Comment
geochemicalPara,geochemical parameters,0.08333333333333333,6,9,0,1,1,3,0,1,1,0,0,0,0,0,0,1,1,environmental parameter / environmental variable,Hm; not so easy. geochemical (parameters) is not the environment of the organism; but characterizes the environment (quality of the environment?) microbial diversity is not a trait of the organism; but maybe a trait of the group::geochemical parameter is not neccessarily a material or substance (e.g. pressure; which is a physical parameter describing the einvoronment)In the context of ecology; environmental paramenters (/variables) are factors determining the given environment; by influencing organisms or interactiong with other environmental parameters.In this logic "geochemical" would specify the type of the environmental parameter 
,geochemical,0.1111111111111111,8,9,0,3,1,1,0,0,2,0,0,0,0,0,0,1,1,,
,microbial diversity,0.19444444444444442,14,9,2,0,3,0,0,0,0,0,0,0,0,0,0,3,1,community characteristic::Ecosystem service,
,groundwater,0.7777777777777777,56,9,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,,
tiliaCordata,repository,0.1388888888888889,10,9,0,0,0,0,2,2,0,0,1,0,0,1,0,3,0,data location::data archival,repository could also be a kind of method for data storage/publication; or an organization
,German Tree of the Year 2016,0.1388888888888889,10,9,3,0,0,0,0,1,0,0,0,0,2,1,0,2,0,name,
,Tilia cordata,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
yearChange,DOC,0.7777777777777777,56,9,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,,
,DIC,0.7777777777777777,56,9,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,,
,year,1.0,72,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,,
dataNeo,Neogloboquadrina pachyderma,0.7777777777777777,56,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
,Globigerina bulloides,0.7777777777777777,56,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
biologicalSignals,biological signals,0.08333333333333333,6,9,0,1,2,0,1,1,2,0,0,0,0,0,0,2,0,,
rootLength,root length,0.7777777777777777,56,9,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,Trait::quantität,
,root,0.5833333333333333,42,9,0,0,0,0,0,0,0,7,0,0,0,0,0,1,1,plant part::Organism component or part::plant part,
temporalDynamics,temporal dynamics of fungal communities,0.7777777777777777,56,9,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,,
,fungal communities,0.4444444444444444,32,9,6,2,0,0,0,0,0,0,0,0,0,0,0,1,0,(species) community,
,upper aquifer,0.5833333333333333,42,9,0,7,0,1,0,0,0,0,1,0,0,0,0,0,0,,
,lower aquifer,0.5833333333333333,42,9,0,7,0,1,0,0,0,0,1,0,0,0,0,0,0,,
soilMoisture,soil moisture patterns,0.08333333333333333,6,9,0,1,2,1,0,1,2,0,0,0,0,0,0,2,0,spatial pattern::var,the first three again characterize the environment (quality of the environment?) the last two coud be events; but do not happen only once
,soil moisture,0.19444444444444442,14,9,0,3,1,2,0,0,0,0,0,0,0,0,0,3,0,environmental parameter / environmental variable::var::Parameter,
,shed precipitation patterns,0.05555555555555555,4,9,0,1,1,1,0,1,2,0,0,0,0,0,0,2,1,spatial pattern::var,
,shed precipitation,0.16666666666666666,12,9,0,2,0,0,0,0,3,0,0,0,0,0,0,2,2,environmental parameter / environmental variable,
,precipitation,0.19444444444444442,14,9,0,3,0,0,0,0,3,0,0,0,1,0,0,2,0,environmental parameter / environmental variable,
bacteriumXY,Bacterium XY,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,metabolizing compound-class XYZ,0.1111111111111111,8,9,1,0,2,1,0,0,3,0,0,0,0,0,0,1,1,?,
,metabolizing,0.611111111111111,44,9,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,,
soilDepth,carbon,0.5833333333333333,42,9,0,0,1,7,0,0,0,0,0,0,0,0,0,1,0,carbon may be organic or inorganic carbon - mat&Subst; if inorganic,soil depth again quality of the environment?
,soil depth,0.25,18,9,0,4,1,0,0,0,0,0,3,0,0,0,0,1,0,environmental parameter / variable,
kindOfPlant,plants,0.7777777777777777,56,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,in this case plants might be the environment; not the organism
,Arthrocladiella mougeotii (Lév.) Vassilkov,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
surfaceWater,samples,0.19444444444444442,14,9,0,0,0,2,3,3,0,0,0,0,0,0,0,0,1,,
,surface water,0.611111111111111,44,9,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,,
marinePhages,marine phages,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,effective tracers,0.3055555555555555,22,9,0,0,0,1,5,1,0,0,0,0,0,0,0,2,0,(ecosystem) function,
,particle transport,1.0,72,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,,
,particle,0.41666666666666663,30,9,0,0,1,6,0,0,0,1,0,0,0,0,0,0,1,,
,soil,0.5,36,9,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,,
,subsurface,0.4444444444444444,32,9,0,6,0,0,0,0,0,0,1,0,0,0,0,2,0,functional location,
phageTransport,the relevance of phage transport,0.19444444444444442,14,9,0,0,3,0,0,0,0,0,0,0,0,0,1,3,2,meaning?; criterion?::Wertung,ecosystem fractioning again quality of the environment?
,phage transport,1.0,72,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,,
,ecosystem fractioning,0.7777777777777777,56,9,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,,
,ecosystem,0.611111111111111,44,9,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,consists of organisms and environment,
,soil,0.611111111111111,44,9,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,,
soilSamples,soil samples,0.19444444444444442,14,9,0,0,0,2,3,3,0,0,0,0,0,0,0,1,0,,pH & water content again quality of the environment?
,Germany,1.0,72,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,,
,measurements of pH and water content,0.2222222222222222,16,9,0,0,0,0,4,1,0,0,0,0,0,0,0,2,2,measurement,
,pH,0.2222222222222222,16,9,0,2,4,1,0,0,0,0,0,0,0,0,0,2,0,environmental parameter / variable::Parameter - Environmental Measurement Systems,
,water content,0.1388888888888889,10,9,0,2,1,3,0,0,1,0,0,0,0,0,0,2,0,environmental parameter / variable::Parameter - Environmental Measurement Systems,
,water,0.4444444444444444,32,9,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,,
arcticSediments,organic carbon content,0.16666666666666666,12,9,0,1,3,3,0,0,0,0,0,0,0,0,0,1,1,environmental parameter / environmental variable / measurement,the first two again quality of the environment?
,organic,0.19444444444444442,14,9,1,1,4,2,0,0,0,0,0,0,0,0,0,1,0,,
,arctic sediments,0.3333333333333333,24,9,0,4,0,4,0,0,0,0,0,0,0,0,0,0,1,,
,arctic,0.7777777777777777,56,9,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,,
molecularFormular,substances,1.0,72,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,,sorry; I do not know where to put the last
,specific molecular formula,0.1388888888888889,10,9,0,0,0,1,2,3,0,0,0,0,0,0,0,2,1,,
,molecular,0.08333333333333333,6,9,1,1,3,1,0,0,0,1,0,0,0,0,0,1,1,,
transportPatterns,seasonal transport patterns of microbes,0.4444444444444444,32,9,0,0,2,0,0,0,6,0,0,0,0,0,0,0,1,,
,microbes,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
horizontalTran,horizontal transport of microbial communities,0.7777777777777777,56,9,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,biod. var.,
,microbial communities,0.41666666666666663,30,9,6,1,0,0,0,0,0,0,0,0,0,0,0,1,1,(species) community::biod. var.,
,microbial,0.2222222222222222,16,9,2,0,4,0,0,0,0,1,0,0,0,0,0,0,2,,
autotrophicMicro,autotrophic microorganisms,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,autotrophic,0.5833333333333333,42,9,0,1,7,0,0,0,1,0,0,0,0,0,0,0,0,,
,carbon cycling,1.0,72,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,,
,groundwater aquifer,0.7777777777777777,56,9,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,,
,aquifer,0.5833333333333333,42,9,0,7,0,1,0,0,0,0,1,0,0,0,0,0,0,,
conduceInfluences,conduce influences,0.16666666666666666,12,9,0,1,0,0,0,0,3,0,0,0,0,0,1,3,1,?,
,soil,0.611111111111111,44,9,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,,
,aquifer,0.7777777777777777,56,9,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,,
oxygen,oxygen concentration,0.25,18,9,0,1,4,3,0,0,0,0,0,0,0,0,0,1,0,environmental parameter / varaiable,oxygen concentration -> quality of environment? mesopelagic zone & 200-1000m (depth) could also be locations
,oxygen,1.0,72,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,,
,sea water,0.4444444444444444,32,9,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,,
,mesopelagic zone,0.3611111111111111,26,9,0,5,0,1,0,0,0,0,3,0,0,0,0,0,0,,
,global ocean,0.4444444444444444,32,9,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,,
,200-1000m (depth),0.2222222222222222,16,9,0,2,2,0,0,0,0,0,4,0,0,0,0,1,0,quantität,
karstStructure,karst structure of the aquifer,0.1388888888888889,10,9,0,2,2,3,0,1,0,0,0,0,0,0,0,1,0,,karst structure (of the aquifer) -> quality of environment?
,karst structure,0.1388888888888889,10,9,0,2,2,3,0,1,0,0,0,0,0,0,0,1,0,,
,aquifer,0.7777777777777777,56,9,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,,
,tectonics,0.41666666666666663,30,9,0,1,0,0,0,1,6,0,0,0,0,0,0,0,1,,
,climate,0.16666666666666666,12,9,0,3,0,0,0,1,3,0,0,0,0,0,0,1,1,environmental parameter / variable,
distributionStroks,distribution of stroks,0.19444444444444442,14,9,0,0,4,0,0,2,1,0,0,0,0,0,0,1,1,,I do not know stroks. Might be an organism.::do you mean "strokes" ?
,stroks,0.5833333333333333,42,9,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,
,Europe,1.0,72,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,,
coralBleaching,ocean acidification,1.0,72,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,,both could also be described as environmental change
,coral bleaching,1.0,72,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,,
surfaceSignals,surface signals,0.05555555555555555,4,9,0,1,2,0,1,2,0,0,0,0,1,0,0,1,1,,
plantagoLanc,Plantago lanceolata,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
somSoils,autotrophic organisms,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,autotrophic,0.41666666666666663,30,9,0,0,6,0,0,0,1,1,0,0,0,0,0,1,0,,
,SOM,0.41666666666666663,30,9,0,1,1,6,0,0,0,0,0,0,0,0,0,1,0,environmental parameter / variable,
,soils,0.4444444444444444,32,9,0,6,0,2,0,0,0,0,1,0,0,0,0,0,0,,
palustrisMaritima,Triglochin palustris,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,Triglochin maritima,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
butterflyOak,butterflies,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,oaks might be the environment in this case
,oaks,0.7777777777777777,56,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
waterCycle,N cycle,0.5833333333333333,42,9,0,1,0,1,0,0,7,0,0,0,0,0,0,0,0,,Throughfall & Stemflow could also belong to the environment natural deciduous forest could also be environment or location
,water,0.3611111111111111,26,9,0,5,0,3,0,0,1,0,0,0,0,0,0,0,0,,
,Throughfall,0.2222222222222222,16,9,0,2,0,1,0,0,4,0,0,0,0,0,0,2,0,environmental parameter / variable::Parameters,
,Stemflow,0.2222222222222222,16,9,0,2,0,1,0,0,4,0,0,0,0,0,0,2,0,environmental parameter / variable::Parameters,
,Groundwater,0.19444444444444442,14,9,0,3,0,3,0,0,1,0,0,0,0,0,0,2,0,environmental parameter / variable::Parameters,
,natural deciduous forest,0.5833333333333333,42,9,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,,
,deciduous,0.41666666666666663,30,9,1,0,6,0,0,0,0,0,1,0,0,0,0,1,0,characteristic of the environment,
waspsOvipositor,ovipositor of wood wasps,0.41666666666666663,30,9,1,0,0,0,0,0,0,6,0,0,0,0,0,1,1,?,
,wood wasps,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,photographs,1.0,72,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,,
,detailed drawings,0.7777777777777777,56,9,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,,
mesopelagicFish,mesopelagic fish,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,mesopelagic,0.16666666666666666,12,9,0,3,3,0,0,0,1,1,0,0,0,0,0,0,1,,
,genus Cyclothone,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
bioPolymers,immediate response of microbiome,0.2222222222222222,16,9,0,0,2,0,0,0,4,0,0,0,2,0,0,1,0,reaction / interaction,
,microbiome,0.3611111111111111,26,9,5,3,0,0,0,0,0,0,0,0,0,0,0,1,0,?,
,supplemented biopolymers,0.19444444444444442,14,9,2,0,1,4,1,0,0,0,0,0,0,0,1,0,0,,
nutrientData,nutrients,0.7777777777777777,56,9,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,,
,soil,0.611111111111111,44,9,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,,
mineralComp,Mineral-composition,0.4444444444444444,32,9,0,0,2,6,0,0,0,0,0,0,0,0,0,1,0,environmental parameter / variable,Mineral-composition -> quality of environment? I do not know parlochs. Might be a place or environment. mineralogy of the parlochs -> quality of environment?
,mobile colloids,0.41666666666666663,30,9,1,1,0,6,0,0,0,0,0,0,0,0,0,0,1,,
,groundwater,0.7777777777777777,56,9,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,,
,mineralogy of the parlochs,0.2777777777777778,20,9,0,0,2,3,0,0,0,0,0,0,0,0,0,0,4,,
,parlochs,0.19444444444444442,14,9,1,0,0,1,0,0,0,0,1,0,0,0,0,2,4,?,
biodiversityCha,biodiversity,0.25,18,9,1,0,4,0,0,0,0,0,0,0,0,0,0,3,1,variety and variability of organisms::domain::Ecosystem service,
,time,0.7777777777777777,56,9,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,quantity,
vegetationAmount,city districts,0.4444444444444444,32,9,0,2,0,0,0,0,0,0,6,0,0,0,0,1,0,land use,city districts could also be environment amount of vegetation -> quality of environment?
,amount of vegetation,0.08333333333333333,6,9,2,1,1,0,0,1,0,0,0,0,0,0,0,2,2,envoronmental parameter / variable,
,vegetation,0.3611111111111111,26,9,5,3,0,0,0,0,0,0,0,0,0,0,0,1,0,,
,biodiversity,0.16666666666666666,12,9,1,1,3,0,0,0,0,0,0,0,0,0,0,3,1,variety and variability of organisms::Ecosystem service,
aphidoidea,Aphidoidea,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
dataFB,foraminifera,0.5833333333333333,42,9,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,
aquiferSurfaces,microbes,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,aquifer surfaces,0.7777777777777777,56,9,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,,
geology,geology,0.3611111111111111,26,9,0,5,0,1,0,0,0,0,0,0,0,0,0,3,0,environmental parameter / environmental variable::discipline::domain,geology & soil geochemistry -> quality of environment? I am not quite sure about bacterial & archaea as it is not bacteria and archaea.
,soil geochemistry,0.3055555555555555,22,9,0,5,1,1,0,0,0,0,0,0,0,0,0,2,0,environmental parameter / environmental variable::discipline,
,soil,0.5,36,9,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,,
,bacterial and archaeal nitrogen-cycling communities,0.4444444444444444,32,9,6,1,0,0,0,0,0,0,0,0,0,0,0,2,0,(species) community::biodiv. var.,
,bacterial,0.7777777777777777,56,9,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
,archaeal,0.5833333333333333,42,9,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,
,nitrogen-cycling,1.0,72,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,,
plantResidalCom,aquifer microbiomes,0.3333333333333333,24,9,5,2,0,0,0,0,0,0,0,0,0,0,0,2,0,(species) community::biod. var.,aquifer microbiomes could be organism in this case; and plant environment do you mean 'residual'?
,aquifer,0.7777777777777777,56,9,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,,
,plant residal compounds,0.19444444444444442,14,9,0,2,1,4,0,0,0,1,0,0,0,0,0,0,1,,
,plant residal,0.16666666666666666,12,9,0,1,1,3,0,0,0,0,0,0,0,0,0,3,1,?,
,plant,0.7777777777777777,56,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
paternalKin,species X,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,paternal kin,0.1111111111111111,8,9,2,0,2,0,0,0,2,0,0,0,0,0,0,2,1,?,
neonicotinoidPol,neonicotinoids,0.7777777777777777,56,9,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,,
,pollinators,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
co2Groundwater,CO2 fixation,1.0,72,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,,
,CO2,1.0,72,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,,
,groundwater,0.7777777777777777,56,9,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,,
uptakeRates,benthic oxygen uptake rate,0.19444444444444442,14,9,0,1,3,0,0,0,3,0,0,0,0,0,0,2,0,var.::Parameter,(benthic) (oxygen uptake rate) -> quality of environment?; or maybe Parameter? could also fit to (some of) the others I put in this category (A Parameter might be something that is measured by a method; input element.)
,benthic,0.4444444444444444,32,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0,1,?,
,oxygen uptake rate,0.19444444444444442,14,9,0,1,4,0,0,0,2,0,0,0,0,0,0,1,1,var.::Parameter,
,oxygen,1.0,72,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,,
,Atlantic,0.611111111111111,44,9,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,,
workingArea,catchment area,0.4444444444444444,32,9,0,2,0,0,0,0,0,0,6,0,0,0,0,1,0,,
,source area,0.4444444444444444,32,9,0,2,0,0,0,0,0,0,6,0,0,0,0,1,0,,
,infiltration area,0.4444444444444444,32,9,0,2,0,0,0,0,0,0,6,0,0,0,0,1,0,,
,rain water,0.5833333333333333,42,9,0,1,0,7,0,0,0,0,0,0,0,0,0,0,1,,
,working area,0.5833333333333333,42,9,0,1,0,0,0,0,0,0,7,0,0,0,0,0,1,,
fungalCommunity,surface fungal communities,0.41666666666666663,30,9,6,1,0,0,0,0,1,0,0,0,0,0,0,1,0,(species) community,
,surface,0.4444444444444444,32,9,0,6,0,0,0,0,0,0,1,0,0,0,0,2,0,functional location,
,subsurface fungal communitie,0.41666666666666663,30,9,6,1,0,0,0,0,1,0,0,0,0,0,0,1,0,(species) community,
,subsurface,0.4444444444444444,32,9,0,6,0,0,0,0,0,0,1,0,0,0,0,2,0,functional location,
InfluenceMicro,microorganism,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,CO2 isotopes,1.0,72,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,,
,CO2,1.0,72,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,,
vascularPlants,forest-specific diversity of vascular plants,0.16666666666666666,12,9,2,0,3,0,0,0,0,0,0,0,0,0,0,2,2,(species) community characteristic::Ecosystem service,I am not quite sure about forest specific. I have the feeling; your categories match better with nouns (except for quality and human intervention). But this might be a problem with my thinking patterns.
,forest-specific,0.2222222222222222,16,9,0,2,4,0,0,0,0,0,2,0,0,0,0,1,0,land use,
,vascular plants,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,vascular,0.5,36,9,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,,
pollinators,abundance of pollinators,0.19444444444444442,14,9,1,0,3,0,0,2,0,0,0,0,0,0,0,3,0,(species) community characteristic::biodiversity index::biodiv. var.,
,bees,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
seasonalDi,seasonal differences of nitrogen dry and wet deposition,0.1111111111111111,8,9,0,0,3,0,0,1,2,0,0,1,0,0,0,1,1,term,seasonal differences of nitrogen dry and wet deposition -> quality of environment?::What is a template forest? I guess you meant temperate forest?
,seasonal differences,0.1111111111111111,8,9,0,0,3,0,1,0,1,0,0,1,0,0,0,2,1,term,
,nitrogen dry deposition,0.5833333333333333,42,9,0,0,1,0,0,0,7,0,0,0,0,0,0,1,0,Parameter,
,nitrogen wet deposition,0.5833333333333333,42,9,0,0,1,0,0,0,7,0,0,0,0,0,0,1,0,Parameter,
,nitrogen,1.0,72,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,,
,template forest,0.4444444444444444,32,9,0,6,0,0,0,0,0,0,2,0,0,0,0,0,1,,
socialSystem,social system,0.1388888888888889,10,9,0,1,2,0,0,0,0,1,0,0,0,0,0,3,2,population characteristic::biod. var. / term,
,species X,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
invasiveGrasses,invasive grasses,0.7777777777777777,56,9,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,functional group,
,invasive,0.5833333333333333,42,9,0,0,7,0,0,0,1,0,0,0,0,0,1,0,0,,
,Poaceae,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
domComposition,parameters,0.1388888888888889,10,9,0,0,2,1,0,2,0,0,0,0,0,0,0,3,1,parameter? (input for measurement / method)::parameters::var,DOM composition -> quality of environment?
,DOM composition,0.16666666666666666,12,9,0,1,1,3,0,0,1,0,0,0,0,0,0,3,0,environmental parameter / variable::biod. var.,
millipedes,population abundance of millipeds,0.25,18,9,0,1,4,0,0,1,0,0,0,0,0,0,0,3,0,population characteristic::biodiv. var.::Eocosystem service,
,population,0.08333333333333333,6,9,2,0,1,0,1,2,0,0,0,0,0,0,0,1,2,biodiv. var.,
,millipedes,0.7777777777777777,56,9,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,?,
