,,P(i),Sum over all n(ij),Total Responses,Organism,Environment,Quality,Mat & Subst,Method,Data Type,Process,Anatomy,Location,Time,Event,Person & Org,Human Inter,Other,None,Other Category,Comment
orgInorg,water,0.611111111111111,44,9,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,,
,dissolved organic and inorganic,0.7777777777777777,56,9,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,,
,year,1.0,72,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,,
calcareousGrass,butterfly species,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,calcareous -> quality of environment?
,calcareous grassland,0.5833333333333333,42,9,0,7,0,0,0,0,0,0,1,0,0,0,0,1,0,land use,
,calcareous,0.3333333333333333,24,9,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,,
structure,vegetation structural diversity,0.19444444444444442,14,9,0,1,2,0,0,1,0,0,0,0,0,0,0,4,1,(species) community characteristic::biodiversity index::biod. var.::Ecosystem service / Biodiversity,vegetation structural diversity & subsurface structural properties -> quality of environment?
,vegetation,0.3611111111111111,26,9,5,3,0,0,0,0,0,0,0,0,0,0,0,0,1,,
,subsurface structural properties,0.1388888888888889,10,9,0,1,3,2,0,1,0,0,0,0,0,0,0,2,0,environmental property::Parameter,
,subsurface,0.3611111111111111,26,9,0,5,0,0,0,0,0,0,3,0,0,0,0,1,0,functional location,
secondaryMinerals,secondary minerals,0.7777777777777777,56,9,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,,all; except for secondary minarals -> quality of environment?
,pores,0.1111111111111111,8,9,0,2,2,2,0,0,0,0,2,0,0,0,0,0,1,,
,fractures,0.1111111111111111,8,9,0,2,2,2,0,0,0,0,2,0,0,0,0,0,1,,
,groundwater chemistry,0.1111111111111111,8,9,0,1,2,1,0,0,1,0,0,0,0,0,0,3,1,environmental parameter / environmental variable::domain::Ecosystem parameter,
,chemistry,0.1111111111111111,8,9,0,1,2,1,0,0,1,0,0,0,0,0,0,3,1,environmental parameter / environmental variable::domain::Ecosystem parameter,
specififcInputs,molecules,0.41666666666666663,30,9,1,0,0,6,0,0,0,1,0,0,0,0,0,1,0,chemical element or compound,physico-chemical compositions of the groundwater -> quality of environment?
,surface,0.3333333333333333,24,9,0,4,0,0,0,0,0,0,4,0,0,0,0,1,0,functional location,
,nitrogen,1.0,72,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,,
,physico-chemical compositions of the groundwater,0.25,18,9,0,1,1,3,0,0,0,0,0,0,0,0,0,4,0,environmental parameter / environmental variable::Parameter,
,groundwater,0.611111111111111,44,9,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,,
downstreamCom,connections,0.3055555555555555,22,9,0,1,1,0,0,0,5,0,0,0,0,0,0,2,0,relation::?,connections -> quality of environment? I do not know where to put soil born.
,soil born mobile (organic) matters,0.2222222222222222,16,9,2,0,1,4,0,0,0,0,0,0,0,0,0,2,0,environmental parameter / environmental variable::?,
,soil born,0.1388888888888889,10,9,0,2,3,0,0,0,1,0,0,0,0,0,0,1,2,,
,soil,0.611111111111111,44,9,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,,
,downstream compartments (aquifer),0.4444444444444444,32,9,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,,
microbialGuilds,patterns,0.2777777777777778,20,9,0,0,1,0,1,1,0,0,0,0,0,0,0,5,1,pattern,patterns -> parameter?::spatial or temporal patterns?
,trace gas release,1.0,72,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,,
,trace gas,1.0,72,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,,
,activity of microbial guilds,0.4444444444444444,32,9,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,,
,microbial guilds,0.7777777777777777,56,9,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,functional group,
distributionHolo,distribution of Holothuroidea,0.1388888888888889,10,9,1,0,2,0,0,3,1,0,0,0,0,0,0,2,0,population characteristic::Ecosystem Parameters,
,Holothuroidea,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,Atlantic Ocean,0.5,36,9,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,,
grassCut,grass cut events,0.4444444444444444,32,9,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,Management,
,grass cut,0.2777777777777778,20,9,0,1,0,0,1,0,1,0,0,0,1,0,5,0,0,Management,
,grass,0.7777777777777777,56,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,soils,0.611111111111111,44,9,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,,
,water,0.4444444444444444,32,9,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,,
subsurfaceSoils,chemolithoautotrophy,0.3333333333333333,24,9,0,0,4,0,0,0,4,0,0,0,0,0,0,0,1,,
,heterotrophy,0.3333333333333333,24,9,0,0,4,1,0,0,4,0,0,0,0,0,0,0,0,,
,subsurface soils,0.41666666666666663,30,9,0,6,0,1,0,0,0,0,1,0,0,0,0,1,0,functional location,
,subsurface,0.3333333333333333,24,9,0,4,0,0,0,0,0,0,4,0,0,0,0,1,0,functional location,
globalOccurrence,Triglochin palustris (Sumpf-Dreizack),1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,tropical areas could also be environment
,Triglochin maritima (Strand Dreizack),1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,Brandenburg,1.0,72,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,,
,Germany,1.0,72,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,,
,middle Europe,1.0,72,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,,
,Europe,1.0,72,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,,
,tropical areas,0.3611111111111111,26,9,0,3,0,0,0,0,0,0,5,0,0,0,0,1,0,climate zone,
,South America,1.0,72,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,,
c_n_isotopes,patterns in C-/N-isotopes of CH4; N2O; CO2 (GHG's),0.2222222222222222,16,9,0,0,4,0,0,1,0,0,0,0,0,0,0,2,2,pattern,patterns in C-/N-isotopes of CH4; N2O; CO2 (GHG's) -> quality of environment?; parameter?::see above spatial or temporal?
,C-/N-isotopes of CH4; N2O; CO2 (GHG's),0.7777777777777777,56,9,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,,
,C-/N-isotopes,0.7777777777777777,56,9,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,,
,CH4,0.7777777777777777,56,9,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,,
,N2O,0.7777777777777777,56,9,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,,
,CO2,0.7777777777777777,56,9,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,,
,GHG,0.7777777777777777,56,9,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,,
vlpData,influence of rainfall events,0.25,18,9,0,0,1,0,0,0,4,0,0,0,1,0,0,3,0,meaning?; parameter?::effect,maybe rainfall is an event; even if not singular?
,rainfall events,1.0,72,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,,
,VLP-data,0.7777777777777777,56,9,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,,
birdDistribution,bird distribution,0.16666666666666666,12,9,2,0,2,0,0,2,0,0,0,0,0,0,0,3,0,spatial pattern::biod. var.::Paramter,
,Germany,1.0,72,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,,
meanValue,mean value,0.19444444444444442,14,9,0,0,2,0,1,3,0,0,0,0,0,0,0,3,0,parameter?::measure::quantität,
,hydrochemical parameters,0.16666666666666666,12,9,0,0,2,0,0,3,0,0,0,0,0,0,0,2,2,parameter?; quality of environment?::environmental parameter / environmental variable:: var.::Ecosystem parameter,
,site,0.611111111111111,44,9,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,,
crossKingdom,aquifer co-occurence patterns of microorganism,0.1388888888888889,10,9,1,0,2,0,0,2,0,0,0,0,0,0,0,3,1,species interaction::biod. var.::Parameter,aquifer co-occurence patterns (of microorganism) could also be parameters (cf. questions above) I do not know where to put cross kingdom level
,aquifer co-occurence patterns,0.1388888888888889,10,9,0,1,2,0,0,2,0,0,0,0,0,0,0,3,1,species interaction::biod. var.::Parameter,
,aquifer,0.7777777777777777,56,9,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,,
,microorganism,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,cross kingdom level,0.16666666666666666,12,9,0,0,1,0,1,0,0,1,0,0,0,0,0,3,3,organizational level::hirarchy,
,soil,0.611111111111111,44,9,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,,
paridae,species of the family Paridae,0.7777777777777777,56,9,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
,Paridae,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,Europe,1.0,72,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,,
coffeaArabica,Coffea arabica,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,subtropical areas could also be a location
,subtropical areas,0.3611111111111111,26,9,0,3,0,0,0,0,0,0,5,0,0,0,0,1,0,climatic zone,
,Europe,1.0,72,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,,
waterFlow,landsurface heterogenity,0.2222222222222222,16,9,0,2,2,0,0,1,0,0,0,0,0,0,0,4,0,landscape ecology characteristic::environmental quality::var::Parameter,landsurface heterogenity -> quality of environment?
,landsurface,0.5,36,9,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,,
,patterns of water flow/ flux,0.19444444444444442,14,9,0,0,1,0,0,1,2,0,0,0,0,0,0,4,1,parameter?::pattern::environmental quality::var,
,water flow,0.7777777777777777,56,9,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,environmental parameter / environmental variable,
,water flux,0.5833333333333333,42,9,0,0,0,1,0,0,7,0,0,0,0,0,0,1,0,environmental parameter / environmental variable,
,water,0.5,36,9,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,,
verticalCanopy,vertical canopy measurements,0.3611111111111111,26,9,0,0,0,0,5,3,0,0,0,0,0,0,0,1,0,parameter?,canopy might better be a location; hm...
,canopy,0.4444444444444444,32,9,0,6,0,0,0,0,0,1,0,0,0,0,0,2,0,functional location::bio term,
,beeches,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,spruces,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
datasetSunflowers,sunflowers,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
heracleumMant,Heracleum mantegazzianum,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,neophyt,0.19444444444444442,14,9,4,0,2,0,0,0,0,1,0,0,0,0,1,1,0,,
preferentialFlow,trees,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,preferential flow,1.0,72,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,,
kammerFrost,weather,0.16666666666666666,12,9,0,4,1,0,0,0,1,0,0,0,1,0,0,1,1,environmental parameter / environmental variable,amount of rain & ~ precipitation -> quality of environment? I decided to categorize precipitation as event.
,last 4 weeks,1.0,72,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,,
,Kammerforst,1.0,72,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,,
,amount of rain,0.19444444444444442,14,9,0,1,1,1,0,2,0,0,0,0,0,0,0,4,0,measure::environmental quality::quantität::Parameter,
,rain,0.19444444444444442,14,9,0,1,0,2,0,0,0,0,0,0,4,0,0,1,1,environmental parameter / environmental variable::var,
,amount of precipitation,0.1111111111111111,8,9,0,1,1,1,0,2,0,0,0,0,0,0,0,3,1,measure::environmental quality::quantität::Parameter,
,precipitation,0.1388888888888889,10,9,0,1,0,2,0,0,0,0,0,0,3,0,0,2,1,environmental parameter / environmental variable::var::Parameter,
coldSeeps,sulfate reduction rates,0.25,18,9,0,0,4,0,0,1,1,0,0,0,0,0,0,3,0,var; quantität::Parameter,
,sulfate reduction,0.5833333333333333,42,9,0,1,0,0,0,0,7,0,0,0,1,0,0,0,0,,
,sulfate,1.0,72,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,,
,cold seep,0.5,36,9,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,functional location::?,
surfaceProperties,surface properties,0.16666666666666666,12,9,0,3,1,0,0,1,0,0,0,0,0,0,0,3,1,environmental parameter / environmental variable,surface properties -> quality of environment?
,processes,1.0,72,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,,
frogData,frog,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
primulaVeris,Primula veris,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,Germany,1.0,72,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,,
nitrateLeaching,template forests,0.2777777777777778,20,9,1,5,0,0,0,0,0,0,1,0,0,0,0,1,1,typo? temperate ?,I do not know; where to put sources of nitrate leaching.::I think you mean temperate (in a earlier question as well.
,sources of nitrate leaching,0.1388888888888889,10,9,0,1,0,2,0,0,2,0,0,0,0,0,0,3,1,,
,nitrate leaching,1.0,72,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,,
,groundwater,0.611111111111111,44,9,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,,
rareSpecies,rare species,0.7777777777777777,56,9,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,protection status,
,activities,0.4444444444444444,32,9,0,0,0,0,0,0,6,0,0,0,0,0,0,2,1,biod. var.,
,groundwater,0.7777777777777777,56,9,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,,
iucnStatus,frog,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,I do not know; where to put IUCN red list. Could be some kind of method?
,IUCN red list status,0.19444444444444442,14,9,0,0,2,0,0,3,0,0,0,0,0,1,0,3,0,classification::conservation status::quantität,
,IUCN red list,0.08333333333333333,6,9,0,0,0,0,1,1,0,0,0,0,0,2,2,1,2,document::legal aspect,
landManagement,historic land-management,0.7777777777777777,56,9,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,land use,
,historic,0.41666666666666663,30,9,0,0,1,0,0,0,0,0,0,6,1,0,1,0,0,,
,current vegetation structural signatures,0.3055555555555555,22,9,0,0,5,0,0,2,0,0,0,0,0,0,0,1,1,Parameter,
,current,0.7777777777777777,56,9,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,,
,vegetation,0.4444444444444444,32,9,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,structural signatures,0.41666666666666663,30,9,0,0,6,1,0,1,0,0,0,0,0,0,0,1,0,Parameter,
bee,bees,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
heracleumMant,Heracleum mantegazzianum,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,Berlin,1.0,72,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,,
,Berlin,1.0,72,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,,
,Brandenburg,1.0,72,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,,
,Germany,1.0,72,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,,
,Europe,1.0,72,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,,
forestFloor,role of throughfall,0.1111111111111111,8,9,0,1,1,0,0,1,1,0,0,0,0,0,0,3,2,meaning?; parameter?::function,
,throughfall,0.41666666666666663,30,9,0,1,0,0,0,0,6,0,0,0,1,0,0,1,0,environmental parameter / environmental variable,
,water input,0.4444444444444444,32,9,0,0,0,2,0,0,6,0,0,0,1,0,0,0,0,,
,forest floor,0.4444444444444444,32,9,0,6,0,0,0,0,0,0,2,0,0,0,0,1,0,functional location + land use,
spatialRedistrib,spatial re-distribution of precipitation,0.4444444444444444,32,9,0,0,0,0,1,0,6,0,0,0,0,0,0,2,0,quality of environment?::spatial pattern,hm; precipitation could also be a process... I do not know tree coupies.::What is tree coupies? Do you mean tree canopy?
,precipitation,0.2222222222222222,16,9,0,2,0,0,0,0,4,0,0,0,2,0,0,1,0,environmental parameter / environmental variable,
,tree coupies,0.1111111111111111,8,9,2,1,0,0,0,0,0,1,1,0,0,0,0,1,3,?,
,vertical transport of organic,1.0,72,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,,
,soil,0.5,36,9,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,,
stylopsMelittae,Germany,1.0,72,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,,
,specimen of Stylops melittae,0.41666666666666663,30,9,6,0,0,0,1,1,0,1,0,0,0,0,0,0,0,,
,Stylops melittae,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
gasAnalyticalTec,suitable methods,0.7777777777777777,56,9,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,,
,microbial soil processes,1.0,72,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,,
,microbial,0.3333333333333333,24,9,4,0,4,0,0,0,0,0,0,0,0,0,0,1,0,,
,soil,0.4444444444444444,32,9,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,,
,gas analytical techniques,1.0,72,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,,
,gas,1.0,72,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,,
plantTraits,plant traits,0.611111111111111,44,9,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,,
,plant,0.7777777777777777,56,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,precipitation,0.1388888888888889,10,9,0,1,0,0,0,0,3,0,0,0,2,0,0,2,1,environmental parameter / variable,
,grazing,0.3055555555555555,22,9,0,0,0,0,0,0,5,0,0,0,1,0,2,0,1,environmental parameter / variable,
plantPathogens,diversity of hosts,0.3333333333333333,24,9,0,0,4,0,0,0,0,0,0,0,0,0,0,4,1,community characteristic::biod. var.::Ecosystem parameter,
,hosts,0.41666666666666663,30,9,6,1,1,0,0,0,0,0,0,0,0,0,0,1,0,biod. var.,
,diversity of plant pathogens,0.3333333333333333,24,9,0,0,4,0,0,0,0,0,0,0,0,0,0,4,1,community characteristic::biod. var.,
,plant pathogens,0.5833333333333333,42,9,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Ecosystem parameter,
,plant,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
environmentalFac,environmental factors,0.3055555555555555,22,9,0,1,0,0,0,2,0,0,0,0,0,0,0,5,1,parameter?::environmental parameter / variable::var::Parameter,
,soil moisture patterns,0.19444444444444442,14,9,0,0,2,1,0,1,0,0,0,0,0,0,0,4,1,parameter?; quality of environment?::spatial pattern::var::Parameter,
,soil moisture,0.16666666666666666,12,9,0,1,1,3,0,0,0,0,0,0,0,0,0,3,1,quality of environment?::environmental parameter / variable::var::Parameter,
,soil,0.3333333333333333,24,9,0,4,0,4,0,0,0,0,1,0,0,0,0,0,0,,
heterotropicMicro,heterotropic microbial activity,0.4444444444444444,32,9,0,0,2,0,0,0,6,0,0,0,0,0,0,1,0,biod. var.,
,heterotropic,0.611111111111111,44,9,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,,
,microbial,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,aquifer,0.7777777777777777,56,9,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,,
metaboliteProcess,organism,0.7777777777777777,56,9,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
,metabolite,0.5833333333333333,42,9,0,0,1,7,0,0,0,0,0,0,0,0,0,1,0,,
,origin of this structure,0.1388888888888889,10,9,0,0,2,0,0,1,0,1,0,0,0,0,0,2,3,?,
,structure,0.1111111111111111,8,9,0,0,2,1,0,0,0,2,0,0,0,0,0,2,2,?,
aricideaAntarctica,Aricidea antarctica (Paranonidae),1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
speciesHungary,species,0.611111111111111,44,9,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,biod. var.,
,Bäumler; J.A.,1.0,72,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,,
,Hungary,1.0,72,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,,
dnaData,DNA,0.2777777777777778,20,9,0,0,0,1,1,1,0,5,0,0,0,0,0,1,0,organism characteristic,I saw DNA in your examples for anatomy; but it might also be a substance.
,Amphimonhystrella sp. (Nematoda),1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
landAband,land abandonment,0.41666666666666663,30,9,0,0,1,0,0,1,0,0,0,0,0,0,6,1,0,?,
polychaete,specimen,0.2777777777777778,20,9,5,0,0,0,1,1,0,1,0,0,0,0,0,0,1,,deep-sea could also be a location
,deep-sea polychaete,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,deep-sea,0.5833333333333333,42,9,0,7,1,0,0,0,0,0,0,0,0,0,0,1,0,functional location,
westAfrica,vegetation data,0.5833333333333333,42,9,0,1,0,0,0,7,0,0,0,0,0,0,0,1,0,,vegetation data could als be parameters for measurement
,West Africa,1.0,72,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,,
vegetationCan,patterns,0.3055555555555555,22,9,0,0,1,0,0,2,1,0,0,0,0,0,0,5,0,parameter?::pattern::Parameter,soil depth -> quality of environment?
,vegetation canopies,0.19444444444444442,14,9,1,3,0,0,0,0,0,2,0,0,0,0,0,3,0,plant part::functional location,
,vegetation,0.5,36,9,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,soil depth,0.1388888888888889,10,9,0,2,1,0,0,0,0,0,3,0,0,0,0,2,1,environmental parameter / variable::environmental quality,
,soil,0.3611111111111111,26,9,0,5,0,3,0,0,0,0,1,0,0,0,0,0,0,,
omCycle,insect mass infestation,0.3611111111111111,26,9,0,0,0,0,0,0,3,0,0,0,5,0,0,1,0,disturbance,OM cycle distribution -> quality of environment?
,fire,0.3611111111111111,26,9,0,0,0,0,0,0,3,0,0,0,5,0,0,1,0,disturbance,
,OM cycle,0.7777777777777777,56,9,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,,
,OM cycle distribution,0.2222222222222222,16,9,0,1,2,0,0,2,4,0,0,0,0,0,0,0,0,,
,soil system,0.5833333333333333,42,9,0,7,0,1,0,0,0,0,0,0,0,0,0,0,1,,
,land use types,0.2777777777777778,20,9,0,1,0,0,0,1,0,0,0,0,0,0,5,1,1,land use,
agriculture,agriculture,0.41666666666666663,30,9,0,1,0,0,0,0,0,0,0,0,0,1,6,1,0,land use,groundwater composition -> quality of environment?
,groundwater composition,0.3055555555555555,22,9,0,1,5,1,0,0,0,0,0,0,0,0,0,2,0,environmental parameter / variable::Ecosytem parameter,
,groundwater,0.4444444444444444,32,9,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,,
co2Fixation,pathway,0.16666666666666666,12,9,0,0,0,0,0,0,3,0,1,0,1,0,0,3,1,term,I do not know where to put pathway. maybe a pathway of CO2 fixation can be a quality of the environment?
,CO2 fixation,0.7777777777777777,56,9,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,ecosystem function,
,CO2,0.7777777777777777,56,9,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,,
,anoxic aquifers,0.7777777777777777,56,9,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,,
climateChange,prevalence of diseases,0.19444444444444442,14,9,0,0,2,0,0,0,3,0,0,0,0,0,0,3,1,climate change::var,
,diseases,0.1388888888888889,10,9,1,0,0,0,0,0,2,0,0,0,2,0,0,3,1,,
